,Country
96,South Africa
95,South Africa
94,South Africa
93,South Africa
55,Kuwait
44,India
45,India
76,Qatar
50,Japan
53,South Korea
83,Saudi Arabia
54,South Korea
109,United Arab Emirates
56,Kuwait
77,Qatar
52,South Korea
51,South Korea
104,Thailand
43,India
85,Saudi Arabia
101,Taiwan
102,Taiwan
42,India
103,Taiwan
106,Thailand
84,Saudi Arabia
107,Thailand
108,United Arab Emirates
82,Saudi Arabia
105,Thailand
1,Australia
2,Australia
66,New Zealand
0,Australia
67,New Zealand
11,Canada
10,Canada
33,France
32,Finland
79,Romania
78,Romania
75,Portugal
60,Latvia
64,Lithuania
73,Poland
69,Poland
68,Norway
80,Romania
81,Romania
72,Poland
88,Slovakia
87,Slovakia
20,Cyprus
99,Spain
89,Slovakia
90,Slovenia
92,Slovenia
97,Spain
70,Poland
71,Poland
100,Sweden
4,Belgium
86,Slovakia
65,Luxembourg
98,Spain
74,Portugal
63,Lithuania
24,Czech Republic
47,Ireland
46,Ireland
39,Hungary
28,Estonia
29,Estonia
30,Estonia
91,Slovenia
38,Hungary
41,Iceland
3,Austria
36,Greece
35,Greece
34,Greece
40,Hungary
49,Italy
37,Hungary
48,Ireland
21,Cyprus
22,Cyprus
62,Lithuania
61,Lithuania
59,Latvia
58,Latvia
31,Estonia
27,Denmark
110,United Kingdom
23,Czech Republic
25,Czech Republic
26,Czech Republic
57,Latvia
16,Colombia
6,Brazil
18,Colombia
19,Colombia
5,Brazil
14,Chile
12,Chile
9,Brazil
17,Colombia
7,Brazil
8,Brazil
15,Chile
13,Chile
